variety,section,words,notes
US,blog,,"from the Words columns of the GloWbE TEXTS page (document icon beside the corpus title); do not estimate"
US,general,,
GB,blog,,
GB,general,,
ZA,blog,,
ZA,general,,
AU,blog,,
AU,general,,
IE,blog,,
IE,general,,
